
Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2016,"United Kingdom",Namibia,Asylum-seekers,39
2016,"United Kingdom",Namibia,"Refugees (incl. refugee-like situations)",21
2016,"United Kingdom",Niger,Asylum-seekers,2
2016,"United Kingdom",Niger,"Refugees (incl. refugee-like situations)",6
2016,"United Kingdom",Nigeria,Asylum-seekers,1720
2016,"United Kingdom",Nigeria,"Refugees (incl. refugee-like situations)",2003
2016,"United Kingdom",Nicaragua,"Refugees (incl. refugee-like situations)",1
2016,"United Kingdom",Netherlands,Asylum-seekers,1
2016,"United Kingdom",Netherlands,"Refugees (incl. refugee-like situations)",2
2016,"United Kingdom",Norway,"Refugees (incl. refugee-like situations)",3
2016,"United Kingdom",Nepal,Asylum-seekers,121
2016,"United Kingdom",Nepal,"Refugees (incl. refugee-like situations)",20
2016,"United Kingdom","New Zealand",Asylum-seekers,2
2016,"United Kingdom","New Zealand","Refugees (incl. refugee-like situations)",1
2016,"United Kingdom",Oman,Asylum-seekers,8
2016,"United Kingdom",Oman,"Refugees (incl. refugee-like situations)",12
2016,"United Kingdom",Pakistan,Asylum-seekers,2914
2016,"United Kingdom",Pakistan,"Refugees (incl. refugee-like situations)",6814
2016,"United Kingdom",Panama,"Refugees (incl. refugee-like situations)",1
2016,"United Kingdom",Peru,Asylum-seekers,3
2016,"United Kingdom",Peru,"Refugees (incl. refugee-like situations)",1
2016,"United Kingdom",Philippines,Asylum-seekers,59
2016,"United Kingdom",Philippines,"Refugees (incl. refugee-like situations)",13
2016,"United Kingdom","Papua New Guinea",Asylum-seekers,2
2016,"United Kingdom",Poland,Asylum-seekers,6
2016,"United Kingdom","Dem. People's Rep. of Korea",Asylum-seekers,26
2016,"United Kingdom","Dem. People's Rep. of Korea","Refugees (incl. refugee-like situations)",585
2016,"United Kingdom",Portugal,Asylum-seekers,1
2016,"United Kingdom",Portugal,"Refugees (incl. refugee-like situations)",1
2016,"United Kingdom",Paraguay,"Refugees (incl. refugee-like situations)",1
2016,"United Kingdom",Palestinian,Asylum-seekers,148
2016,"United Kingdom",Palestinian,"Refugees (incl. refugee-like situations)",480
2016,"United Kingdom",Qatar,Asylum-seekers,3
2016,"United Kingdom",Qatar,"Refugees (incl. refugee-like situations)",4
2016,"United Kingdom",Romania,Asylum-seekers,6
2016,"United Kingdom",Romania,"Refugees (incl. refugee-like situations)",4
2016,"United Kingdom","Russian Federation",Asylum-seekers,146
2016,"United Kingdom","Russian Federation","Refugees (incl. refugee-like situations)",450
2016,"United Kingdom",Rwanda,Asylum-seekers,22
2016,"United Kingdom",Rwanda,"Refugees (incl. refugee-like situations)",118
2016,"United Kingdom","Saudi Arabia",Asylum-seekers,46
2016,"United Kingdom","Saudi Arabia","Refugees (incl. refugee-like situations)",103
2016,"United Kingdom",Sudan,Asylum-seekers,1063
2016,"United Kingdom",Sudan,"Refugees (incl. refugee-like situations)",7326
2016,"United Kingdom",Senegal,Asylum-seekers,43
2016,"United Kingdom",Senegal,"Refugees (incl. refugee-like situations)",73
2016,"United Kingdom",Singapore,Asylum-seekers,14
2016,"United Kingdom",Singapore,"Refugees (incl. refugee-like situations)",2
2016,"United Kingdom","Sierra Leone",Asylum-seekers,87
2016,"United Kingdom","Sierra Leone","Refugees (incl. refugee-like situations)",340
2016,"United Kingdom","El Salvador",Asylum-seekers,72
2016,"United Kingdom","El Salvador","Refugees (incl. refugee-like situations)",29
2016,"United Kingdom",Somalia,Asylum-seekers,405
2016,"United Kingdom",Somalia,"Refugees (incl. refugee-like situations)",5954
2016,"United Kingdom","Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,43
2016,"United Kingdom","Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",125
2016,"United Kingdom","South Sudan",Asylum-seekers,8
2016,"United Kingdom","South Sudan","Refugees (incl. refugee-like situations)",25
2016,"United Kingdom",Slovakia,Asylum-seekers,1
2016,"United Kingdom",Sweden,Asylum-seekers,1
2016,"United Kingdom",Swaziland,Asylum-seekers,6
2016,"United Kingdom",Swaziland,"Refugees (incl. refugee-like situations)",54
2016,"United Kingdom",Seychelles,Asylum-seekers,5
2016,"United Kingdom",Seychelles,"Refugees (incl. refugee-like situations)",1
2016,"United Kingdom","Syrian Arab Rep.",Asylum-seekers,1010
2016,"United Kingdom","Syrian Arab Rep.","Refugees (incl. refugee-like situations)",8269
2016,"United Kingdom",Chad,Asylum-seekers,14
2016,"United Kingdom",Chad,"Refugees (incl. refugee-like situations)",48
2016,"United Kingdom",Togo,Asylum-seekers,5
2016,"United Kingdom",Togo,"Refugees (incl. refugee-like situations)",20
2016,"United Kingdom",Thailand,Asylum-seekers,31
2016,"United Kingdom",Thailand,"Refugees (incl. refugee-like situations)",25
2016,"United Kingdom",Tajikistan,Asylum-seekers,7
2016,"United Kingdom",Tajikistan,"Refugees (incl. refugee-like situations)",8
2016,"United Kingdom",Turkmenistan,Asylum-seekers,3
2016,"United Kingdom",Turkmenistan,"Refugees (incl. refugee-like situations)",18
2016,"United Kingdom",Timor-Leste,Asylum-seekers,2
2016,"United Kingdom","Trinidad and Tobago",Asylum-seekers,25
2016,"United Kingdom","Trinidad and Tobago","Refugees (incl. refugee-like situations)",51
2016,"United Kingdom",Tunisia,Asylum-seekers,40
2016,"United Kingdom",Tunisia,"Refugees (incl. refugee-like situations)",35
2016,"United Kingdom",Turkey,Asylum-seekers,482
2016,"United Kingdom",Turkey,"Refugees (incl. refugee-like situations)",893
2016,"United Kingdom",Tuvalu,"Refugees (incl. refugee-like situations)",1
2016,"United Kingdom","United Rep. of Tanzania",Asylum-seekers,30
2016,"United Kingdom","United Rep. of Tanzania","Refugees (incl. refugee-like situations)",68
2016,"United Kingdom",Uganda,Asylum-seekers,177
2016,"United Kingdom",Uganda,"Refugees (incl. refugee-like situations)",1115
2016,"United Kingdom",Ukraine,Asylum-seekers,96
2016,"United Kingdom",Ukraine,"Refugees (incl. refugee-like situations)",90
2016,"United Kingdom","United States of America",Asylum-seekers,34
2016,"United Kingdom","United States of America","Refugees (incl. refugee-like situations)",41
2016,"United Kingdom",Uzbekistan,Asylum-seekers,27
2016,"United Kingdom",Uzbekistan,"Refugees (incl. refugee-like situations)",68
2016,"United Kingdom","Saint Vincent and the Grenadines",Asylum-seekers,7
2016,"United Kingdom","Saint Vincent and the Grenadines","Refugees (incl. refugee-like situations)",14
2016,"United Kingdom","Venezuela (Bolivarian Republic of)",Asylum-seekers,26
2016,"United Kingdom","Venezuela (Bolivarian Republic of)","Refugees (incl. refugee-like situations)",29
2016,"United Kingdom","Viet Nam",Asylum-seekers,821
2016,"United Kingdom","Viet Nam","Refugees (incl. refugee-like situations)",738
2016,"United Kingdom",Stateless,Asylum-seekers,535
2016,"United Kingdom",Stateless,"Refugees (incl. refugee-like situations)",1841
2016,"United Kingdom",Stateless,"Stateless persons",64
2016,"United Kingdom",Various/Unknown,Asylum-seekers,10957
2016,"United Kingdom",Various/Unknown,"Refugees (incl. refugee-like situations)",6775
2016,"United Kingdom",Yemen,Asylum-seekers,77
2016,"United Kingdom",Yemen,"Refugees (incl. refugee-like situations)",356
2016,"United Kingdom","South Africa",Asylum-seekers,68
2016,"United Kingdom","South Africa","Refugees (incl. refugee-like situations)",162
2016,"United Kingdom",Zambia,Asylum-seekers,29
2016,"United Kingdom",Zambia,"Refugees (incl. refugee-like situations)",69
2016,"United Kingdom",Zimbabwe,Asylum-seekers,361
2016,"United Kingdom",Zimbabwe,"Refugees (incl. refugee-like situations)",8790
2016,Georgia,Afghanistan,Asylum-seekers,9
2016,Georgia,Afghanistan,"Refugees (incl. refugee-like situations)",3
2016,Georgia,Armenia,Asylum-seekers,1
2016,Georgia,Azerbaijan,Asylum-seekers,9
2016,Georgia,Azerbaijan,"Refugees (incl. refugee-like situations)",2
2016,Georgia,Burundi,Asylum-seekers,1
2016,Georgia,Bangladesh,Asylum-seekers,6
2016,Georgia,Bahrain,Asylum-seekers,1
2016,Georgia,"Côte d'Ivoire",Asylum-seekers,1
2016,Georgia,Cameroon,Asylum-seekers,3
2016,Georgia,Congo,Asylum-seekers,4
2016,Georgia,Egypt,Asylum-seekers,30
2016,Georgia,Egypt,"Refugees (incl. refugee-like situations)",8
2016,Georgia,Georgia,"Internally displaced persons",273765
2016,Georgia,Ghana,Asylum-seekers,1
2016,Georgia,India,Asylum-seekers,25
2016,Georgia,"Iran (Islamic Rep. of)",Asylum-seekers,24
2016,Georgia,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",18
2016,Georgia,Iraq,Asylum-seekers,81
2016,Georgia,Iraq,"Refugees (incl. refugee-like situations)",669
2016,Georgia,Jordan,"Refugees (incl. refugee-like situations)",1
2016,Georgia,Kazakhstan,"Refugees (incl. refugee-like situations)",1
2016,Georgia,Kenya,Asylum-seekers,1
2016,Georgia,Lebanon,Asylum-seekers,1
2016,Georgia,Lebanon,"Refugees (incl. refugee-like situations)",6
2016,Georgia,"Sri Lanka",Asylum-seekers,3
2016,Georgia,"Sri Lanka","Refugees (incl. refugee-like situations)",1
2016,Georgia,Mali,Asylum-seekers,1
2016,Georgia,Nigeria,Asylum-seekers,31
2016,Georgia,Nigeria,"Refugees (incl. refugee-like situations)",1
2016,Georgia,Nepal,Asylum-seekers,5
2016,Georgia,Pakistan,Asylum-seekers,8
2016,Georgia,Pakistan,"Refugees (incl. refugee-like situations)",7
2016,Georgia,"Russian Federation",Asylum-seekers,16
2016,Georgia,"Russian Federation","Refugees (incl. refugee-like situations)",265
2016,Georgia,Sudan,"Refugees (incl. refugee-like situations)",1
2016,Georgia,"Sierra Leone",Asylum-seekers,2
2016,Georgia,Somalia,Asylum-seekers,1
2016,Georgia,"Syrian Arab Rep.",Asylum-seekers,12
2016,Georgia,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",425
2016,Georgia,Tajikistan,Asylum-seekers,1
2016,Georgia,Tajikistan,"Refugees (incl. refugee-like situations)",3
2016,Georgia,Turkey,Asylum-seekers,15
2016,Georgia,Turkey,"Refugees (incl. refugee-like situations)",1
2016,Georgia,Ukraine,Asylum-seekers,14
2016,Georgia,Ukraine,"Refugees (incl. refugee-like situations)",702
2016,Georgia,Uzbekistan,"Refugees (incl. refugee-like situations)",7
2016,Georgia,Stateless,"Stateless persons",580
2016,Georgia,Various/Unknown,Asylum-seekers,3
2016,Georgia,Various/Unknown,"Refugees (incl. refugee-like situations)",3
2016,Georgia,Yemen,Asylum-seekers,2
2016,Georgia,Yemen,"Refugees (incl. refugee-like situations)",1
2016,Ghana,Burundi,Asylum-seekers,14
2016,Ghana,Burundi,"Refugees (incl. refugee-like situations)",10
2016,Ghana,Benin,Asylum-seekers,2
2016,Ghana,Benin,"Refugees (incl. refugee-like situations)",3
2016,Ghana,"Burkina Faso",Asylum-seekers,1
2016,Ghana,"Burkina Faso","Refugees (incl. refugee-like situations)",1
2016,Ghana,"Central African Rep.",Asylum-seekers,58
2016,Ghana,"Central African Rep.","Refugees (incl. refugee-like situations)",109
2016,Ghana,"Côte d'Ivoire",Asylum-seekers,504
2016,Ghana,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",6453
2016,Ghana,"Côte d'Ivoire","Returned refugees",53
2016,Ghana,Cameroon,Asylum-seekers,6
2016,Ghana,Cameroon,"Refugees (incl. refugee-like situations)",5
2016,Ghana,Cameroon,"Returned refugees",2
2016,Ghana,"Dem. Rep. of the Congo",Asylum-seekers,60
2016,Ghana,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",43
2016,Ghana,Congo,Asylum-seekers,14
2016,Ghana,Congo,"Refugees (incl. refugee-like situations)",5
2016,Ghana,Eritrea,Asylum-seekers,83
2016,Ghana,Eritrea,"Refugees (incl. refugee-like situations)",11
2016,Ghana,Ethiopia,Asylum-seekers,6
2016,Ghana,Ethiopia,"Refugees (incl. refugee-like situations)",4
2016,Ghana,Gabon,"Returned refugees",1
2016,Ghana,Guinea,Asylum-seekers,2
2016,Ghana,Gambia,Asylum-seekers,1
2016,Ghana,"Iran (Islamic Rep. of)",Asylum-seekers,2
2016,Ghana,Iraq,"Refugees (incl. refugee-like situations)",11
2016,Ghana,Jordan,"Refugees (incl. refugee-like situations)",1
2016,Ghana,Lebanon,Asylum-seekers,1
2016,Ghana,Lebanon,"Refugees (incl. refugee-like situations)",7
2016,Ghana,Liberia,Asylum-seekers,6
2016,Ghana,Liberia,"Refugees (incl. refugee-like situations)",1358
2016,Ghana,Libya,Asylum-seekers,15
2016,Ghana,Mali,Asylum-seekers,10
2016,Ghana,Niger,"Refugees (incl. refugee-like situations)",1
2016,Ghana,Nigeria,Asylum-seekers,24
2016,Ghana,Nigeria,"Refugees (incl. refugee-like situations)",11
2016,Ghana,Pakistan,Asylum-seekers,4
2016,Ghana,Pakistan,"Refugees (incl. refugee-like situations)",26
2016,Ghana,Palestinian,Asylum-seekers,3
2016,Ghana,Palestinian,"Refugees (incl. refugee-like situations)",13
2016,Ghana,Rwanda,Asylum-seekers,9
2016,Ghana,Rwanda,"Refugees (incl. refugee-like situations)",33
2016,Ghana,Sudan,Asylum-seekers,237
2016,Ghana,Sudan,"Refugees (incl. refugee-like situations)",288
2016,Ghana,"Sierra Leone",Asylum-seekers,17
2016,Ghana,"Sierra Leone","Refugees (incl. refugee-like situations)",77
2016,Ghana,Somalia,Asylum-seekers,49
2016,Ghana,Somalia,"Refugees (incl. refugee-like situations)",55
2016,Ghana,"South Sudan",Asylum-seekers,4
2016,Ghana,"South Sudan","Refugees (incl. refugee-like situations)",4
2016,Ghana,"Syrian Arab Rep.",Asylum-seekers,122
2016,Ghana,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",8
2016,Ghana,Chad,Asylum-seekers,29
2016,Ghana,Chad,"Refugees (incl. refugee-like situations)",14
2016,Ghana,Togo,Asylum-seekers,87
2016,Ghana,Togo,"Refugees (incl. refugee-like situations)",3299
2016,Ghana,Togo,"Returned refugees",5
2016,Ghana,Uganda,Asylum-seekers,1
2016,Ghana,Uganda,"Refugees (incl. refugee-like situations)",6
2016,Ghana,Uzbekistan,"Refugees (incl. refugee-like situations)",9
2016,Guinea,Burundi,Asylum-seekers,1
2016,Guinea,Burundi,"Refugees (incl. refugee-like situations)",4
2016,Guinea,"Central African Rep.","Refugees (incl. refugee-like situations)",34
2016,Guinea,"Côte d'Ivoire",Asylum-seekers,33
2016,Guinea,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",4504
2016,Guinea,"Côte d'Ivoire","Returned refugees",248
2016,Guinea,Cameroon,Asylum-seekers,1
2016,Guinea,"Dem. Rep. of the Congo",Asylum-seekers,1
2016,Guinea,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",23
2016,Guinea,Liberia,Asylum-seekers,21
2016,Guinea,Liberia,"Refugees (incl. refugee-like situations)",295
2016,Guinea,"Sri Lanka","Refugees (incl. refugee-like situations)",8
2016,Guinea,Mali,Asylum-seekers,3
2016,Guinea,Mali,"Refugees (incl. refugee-like situations)",3
2016,Guinea,Niger,"Refugees (incl. refugee-like situations)",1
2016,Guinea,Nigeria,Asylum-seekers,1
2016,Guinea,Nigeria,"Refugees (incl. refugee-like situations)",7
2016,Guinea,Rwanda,"Refugees (incl. refugee-like situations)",10
2016,Guinea,Senegal,Asylum-seekers,2
2016,Guinea,"Sierra Leone",Asylum-seekers,45
2016,Guinea,"Sierra Leone","Refugees (incl. refugee-like situations)",169
2016,Guinea,Somalia,"Refugees (incl. refugee-like situations)",1
2016,Guinea,Chad,"Refugees (incl. refugee-like situations)",1
2016,Guinea,Togo,"Refugees (incl. refugee-like situations)",7
2016,Guinea,Uganda,"Refugees (incl. refugee-like situations)",1
2016,Gambia,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",192
2016,Gambia,"Côte d'Ivoire","Returned refugees",6
2016,Gambia,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",41
2016,Gambia,"Dem. Rep. of the Congo","Returned refugees",2
2016,Gambia,Congo,"Refugees (incl. refugee-like situations)",9
2016,Gambia,Guinea-Bissau,"Refugees (incl. refugee-like situations)",12
2016,Gambia,Liberia,"Refugees (incl. refugee-like situations)",68
2016,Gambia,Rwanda,"Refugees (incl. refugee-like situations)",1
2016,Gambia,Sudan,"Refugees (incl. refugee-like situations)",1
2016,Gambia,Senegal,"Refugees (incl. refugee-like situations)",7470
2016,Gambia,"Sierra Leone","Refugees (incl. refugee-like situations)",120
2016,Gambia,Somalia,"Refugees (incl. refugee-like situations)",2
2016,Gambia,Togo,"Refugees (incl. refugee-like situations)",24
2016,Guinea-Bissau,Burundi,Asylum-seekers,1
2016,Guinea-Bissau,Burundi,"Refugees (incl. refugee-like situations)",11
2016,Guinea-Bissau,"Côte d'Ivoire",Asylum-seekers,12
2016,Guinea-Bissau,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",16
2016,Guinea-Bissau,"Dem. Rep. of the Congo",Asylum-seekers,1
2016,Guinea-Bissau,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",5
2016,Guinea-Bissau,Congo,"Refugees (incl. refugee-like situations)",3
2016,Guinea-Bissau,Guinea,Asylum-seekers,1
2016,Guinea-Bissau,Guinea,"Refugees (incl. refugee-like situations)",10
2016,Guinea-Bissau,Gambia,"Refugees (incl. refugee-like situations)",5
2016,Guinea-Bissau,Liberia,Asylum-seekers,7
2016,Guinea-Bissau,Liberia,"Refugees (incl. refugee-like situations)",5
2016,Guinea-Bissau,Mali,Asylum-seekers,3
2016,Guinea-Bissau,Senegal,Asylum-seekers,2
2016,Guinea-Bissau,Senegal,"Refugees (incl. refugee-like situations)",8374
2016,Guinea-Bissau,"Sierra Leone",Asylum-seekers,2
2016,Guinea-Bissau,"Sierra Leone","Refugees (incl. refugee-like situations)",22
2016,Guinea-Bissau,"Syrian Arab Rep.",Asylum-seekers,3
2016,Guinea-Bissau,Togo,"Refugees (incl. refugee-like situations)",1
2016,Guinea-Bissau,Various/Unknown,"Refugees (incl. refugee-like situations)",811
2016,Greece,Afghanistan,Asylum-seekers,4217
2016,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",11440
2016,Greece,Angola,"Refugees (incl. refugee-like situations)",4
2016,Greece,Albania,Asylum-seekers,1470
2016,Greece,Albania,"Refugees (incl. refugee-like situations)",146
2016,Greece,Armenia,Asylum-seekers,62
2016,Greece,Armenia,"Refugees (incl. refugee-like situations)",11
2016,Greece,Azerbaijan,Asylum-seekers,3
2016,Greece,Azerbaijan,"Refugees (incl. refugee-like situations)",4
2016,Greece,Burundi,Asylum-seekers,19
2016,Greece,Burundi,"Refugees (incl. refugee-like situations)",7
2016,Greece,Benin,Asylum-seekers,1
2016,Greece,"Burkina Faso",Asylum-seekers,18
2016,Greece,"Burkina Faso","Refugees (incl. refugee-like situations)",14
2016,Greece,Bangladesh,Asylum-seekers,1296
2016,Greece,Bangladesh,"Refugees (incl. refugee-like situations)",220
2016,Greece,Bulgaria,Asylum-seekers,1
2016,Greece,Belarus,Asylum-seekers,1
2016,Greece,Belarus,"Refugees (incl. refugee-like situations)",5
2016,Greece,"Bolivia (Plurinational State of)",Asylum-seekers,1
2016,Greece,Brazil,Asylum-seekers,2
2016,Greece,Bhutan,"Refugees (incl. refugee-like situations)",1
2016,Greece,"Central African Rep.",Asylum-seekers,6
2016,Greece,"Central African Rep.","Refugees (incl. refugee-like situations)",7
2016,Greece,Canada,"Refugees (incl. refugee-like situations)",2
2016,Greece,Chile,Asylum-seekers,1
2016,Greece,Chile,"Refugees (incl. refugee-like situations)",1
2016,Greece,China,Asylum-seekers,187
2016,Greece,China,"Refugees (incl. refugee-like situations)",46
2016,Greece,"Côte d'Ivoire",Asylum-seekers,43
2016,Greece,"Côte d'Ivoire","Refugees (incl. refugee-like situations)",60
2016,Greece,Cameroon,Asylum-seekers,151
2016,Greece,Cameroon,"Refugees (incl. refugee-like situations)",94
2016,Greece,"Dem. Rep. of the Congo",Asylum-seekers,199
2016,Greece,"Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)",135
2016,Greece,Congo,Asylum-seekers,49
2016,Greece,Congo,"Refugees (incl. refugee-like situations)",37
2016,Greece,Colombia,Asylum-seekers,1
2016,Greece,Comoros,Asylum-seekers,4
2016,Greece,Comoros,"Refugees (incl. refugee-like situations)",2
2016,Greece,Cuba,Asylum-seekers,4
2016,Greece,Djibouti,Asylum-seekers,1
2016,Greece,"Dominican Rep.",Asylum-seekers,37
2016,Greece,"Dominican Rep.","Refugees (incl. refugee-like situations)",4
2016,Greece,Algeria,Asylum-seekers,401
2016,Greece,Algeria,"Refugees (incl. refugee-like situations)",39
2016,Greece,Egypt,Asylum-seekers,409
2016,Greece,Egypt,"Refugees (incl. refugee-like situations)",159
2016,Greece,Eritrea,Asylum-seekers,286
2016,Greece,Eritrea,"Refugees (incl. refugee-like situations)",403
2016,Greece,"Western Sahara",Asylum-seekers,5
2016,Greece,"Western Sahara","Refugees (incl. refugee-like situations)",1
2016,Greece,Ethiopia,Asylum-seekers,96
2016,Greece,Ethiopia,"Refugees (incl. refugee-like situations)",208
2016,Greece,Gabon,Asylum-seekers,2
2016,Greece,Georgia,Asylum-seekers,626
2016,Greece,Georgia,"Refugees (incl. refugee-like situations)",266
2016,Greece,Ghana,Asylum-seekers,81
2016,Greece,Ghana,"Refugees (incl. refugee-like situations)",44
2016,Greece,Guinea,Asylum-seekers,37
2016,Greece,Guinea,"Refugees (incl. refugee-like situations)",48
2016,Greece,Gambia,Asylum-seekers,33
2016,Greece,Gambia,"Refugees (incl. refugee-like situations)",23
2016,Greece,Guinea-Bissau,Asylum-seekers,2
2016,Greece,Guinea-Bissau,"Refugees (incl. refugee-like situations)",1
2016,Greece,Guyana,Asylum-seekers,1
2016,Greece,Honduras,Asylum-seekers,1
2016,Greece,Honduras,"Refugees (incl. refugee-like situations)",2
2016,Greece,Haiti,Asylum-seekers,10
2016,Greece,Haiti,"Refugees (incl. refugee-like situations)",1
2016,Greece,Indonesia,Asylum-seekers,19
2016,Greece,Indonesia,"Refugees (incl. refugee-like situations)",12
2016,Greece,India,Asylum-seekers,82
2016,Greece,India,"Refugees (incl. refugee-like situations)",27
2016,Greece,"Iran (Islamic Rep. of)",Asylum-seekers,779
2016,Greece,"Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)",693
2016,Greece,Iraq,Asylum-seekers,3135
2016,Greece,Iraq,"Refugees (incl. refugee-like situations)",8161
2016,Greece,Israel,"Refugees (incl. refugee-like situations)",2
2016,Greece,Jordan,Asylum-seekers,10
2016,Greece,Jordan,"Refugees (incl. refugee-like situations)",4
2016,Greece,Kazakhstan,Asylum-seekers,3
2016,Greece,Kazakhstan,"Refugees (incl. refugee-like situations)",3
2016,Greece,Kenya,Asylum-seekers,16
2016,Greece,Kenya,"Refugees (incl. refugee-like situations)",28
2016,Greece,Kyrgyzstan,"Refugees (incl. refugee-like situations)",2
2016,Greece,Kuwait,Asylum-seekers,10
2016,Greece,Lebanon,Asylum-seekers,82
2016,Greece,Lebanon,"Refugees (incl. refugee-like situations)",16
2016,Greece,Liberia,Asylum-seekers,10
2016,Greece,Libya,Asylum-seekers,10
2016,Greece,Libya,"Refugees (incl. refugee-like situations)",24
2016,Greece,"Sri Lanka",Asylum-seekers,21
2016,Greece,"Sri Lanka","Refugees (incl. refugee-like situations)",39
2016,Greece,Morocco,Asylum-seekers,224
2016,Greece,Morocco,"Refugees (incl. refugee-like situations)",61
2016,Greece,"Rep. of Moldova",Asylum-seekers,43
2016,Greece,"Rep. of Moldova","Refugees (incl. refugee-like situations)",11
2016,Greece,Madagascar,Asylum-seekers,3
2016,Greece,Madagascar,"Refugees (incl. refugee-like situations)",2
2016,Greece,"The former Yugoslav Republic of Macedonia",Asylum-seekers,1
2016,Greece,Mali,Asylum-seekers,48
2016,Greece,Mali,"Refugees (incl. refugee-like situations)",20
2016,Greece,Myanmar,Asylum-seekers,22
2016,Greece,Myanmar,"Refugees (incl. refugee-like situations)",15
2016,Greece,Mauritania,Asylum-seekers,13
2016,Greece,Mauritania,"Refugees (incl. refugee-like situations)",41
2016,Greece,Niger,Asylum-seekers,13
2016,Greece,Nigeria,Asylum-seekers,380
2016,Greece,Nigeria,"Refugees (incl. refugee-like situations)",237
2016,Greece,Norway,Asylum-seekers,2
2016,Greece,Nepal,Asylum-seekers,30
2016,Greece,Nepal,"Refugees (incl. refugee-like situations)",1
2016,Greece,Pakistan,Asylum-seekers,4067
2016,Greece,Pakistan,"Refugees (incl. refugee-like situations)",590
2016,Greece,Peru,Asylum-seekers,2
2016,Greece,Philippines,Asylum-seekers,4
2016,Greece,Philippines,"Refugees (incl. refugee-like situations)",7
2016,Greece,Palestinian,Asylum-seekers,524
2016,Greece,Palestinian,"Refugees (incl. refugee-like situations)",155
2016,Greece,"Russian Federation",Asylum-seekers,32
2016,Greece,"Russian Federation","Refugees (incl. refugee-like situations)",10
2016,Greece,Rwanda,Asylum-seekers,7
2016,Greece,Rwanda,"Refugees (incl. refugee-like situations)",7
2016,Greece,"Saudi Arabia",Asylum-seekers,3
2016,Greece,"Saudi Arabia","Refugees (incl. refugee-like situations)",2
2016,Greece,Sudan,Asylum-seekers,53
2016,Greece,Sudan,"Refugees (incl. refugee-like situations)",372
2016,Greece,Senegal,Asylum-seekers,87
2016,Greece,Senegal,"Refugees (incl. refugee-like situations)",46
2016,Greece,"Sierra Leone",Asylum-seekers,33
2016,Greece,"Sierra Leone","Refugees (incl. refugee-like situations)",28
2016,Greece,"El Salvador",Asylum-seekers,7
2016,Greece,"El Salvador","Refugees (incl. refugee-like situations)",6
2016,Greece,Somalia,Asylum-seekers,80
2016,Greece,Somalia,"Refugees (incl. refugee-like situations)",262
2016,Greece,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,4
2016,Greece,"Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)",26
2016,Greece,"South Sudan",Asylum-seekers,1
2016,Greece,"South Sudan","Refugees (incl. refugee-like situations)",7
2016,Greece,Swaziland,"Refugees (incl. refugee-like situations)",1
2016,Greece,"Syrian Arab Rep.",Asylum-seekers,13997
2016,Greece,"Syrian Arab Rep.","Refugees (incl. refugee-like situations)",14420
2016,Greece,Chad,"Refugees (incl. refugee-like situations)",1
2016,Greece,Togo,Asylum-seekers,8
2016,Greece,Togo,"Refugees (incl. refugee-like situations)",6
2016,Greece,Tunisia,Asylum-seekers,32
2016,Greece,Tunisia,"Refugees (incl. refugee-like situations)",6
2016,Greece,Turkey,Asylum-seekers,181
2016,Greece,Turkey,"Refugees (incl. refugee-like situations)",146
2016,Greece,"United Rep. of Tanzania",Asylum-seekers,13
2016,Greece,"United Rep. of Tanzania","Refugees (incl. refugee-like situations)",10
2016,Greece,Uganda,Asylum-seekers,34
2016,Greece,Uganda,"Refugees (incl. refugee-like situations)",18
2016,Greece,Ukraine,Asylum-seekers,144
2016,Greece,Ukraine,"Refugees (incl. refugee-like situations)",112
2016,Greece,Uzbekistan,Asylum-seekers,10
2016,Greece,Uzbekistan,"Refugees (incl. refugee-like situations)",13
2016,Greece,"Venezuela (Bolivarian Republic of)",Asylum-seekers,9
2016,Greece,"Viet Nam",Asylum-seekers,4
2016,Greece,"Viet Nam","Refugees (incl. refugee-like situations)",7
2016,Greece,Stateless,Asylum-seekers,129
2016,Greece,Stateless,"Refugees (incl. refugee-like situations)",207
2016,Greece,Stateless,"Stateless persons",198
2016,Greece,Various/Unknown,Asylum-seekers,5767
2016,Greece,Various/Unknown,"Refugees (incl. refugee-like situations)",7066
2016,Greece,Yemen,Asylum-seekers,32
2016,Greece,Yemen,"Refugees (incl. refugee-like situations)",57
2016,Greece,"South Africa",Asylum-seekers,1
