Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Tota pending start-year","of which UNHCR-assisted","Applied during year",statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,"Otherwise closed","Total decisions","Total pending end-year","of which UNHCR-assisted"
2016,Estonia,Belarus,"G / FI",1,,1,,,1,1,2,,
2016,Finland,Belarus,"G / FI",22,,45,3,,12,34,49,15,
2016,Finland,Belarus,"G / RA",,,,,,,,,,
2016,France,Belarus,"G / AR",22,,18,4,2,17,,23,17,
2016,France,Belarus,"G / RA",,,12,,,,,,,
2016,France,Belarus,"G / RA",,,13,,,2,8,10,,
2016,France,Belarus,"G / FI",28,,30,10,2,34,,46,,
2016,"United Kingdom",Belarus,"G / FI",11,,20,6,,1,2,9,20,
2016,"United Kingdom",Belarus,"G / RA",,,,,,,,,,
2016,"United Kingdom",Belarus,"G / AR",,,1,,,2,,2,,
2016,Georgia,Belarus,"G / FI",2,2,,,,,2,2,,
2016,Greece,Belarus,"G / AR",1,,,,,,,,1,
2016,Greece,Belarus,"G / FI",,,1,1,,,,1,,
2016,Hungary,Belarus,"G / FA",,,,,,,,,1,
2016,Hungary,Belarus,"G / FI",,,1,,,,,,,
2016,Indonesia,Belarus,"U / FI",,,3,,,,,,3,3
2016,Ireland,Belarus,"G / SP",3,,,,,,3,3,,
2016,Ireland,Belarus,"G / FI",1,,1,1,,,,1,1,
2016,Iceland,Belarus,"G / FI",3,,9,,,7,3,10,3,
2016,Italy,Belarus,"G / FI",1,,11,,3,2,,5,7,
2016,Liechtenstein,Belarus,"G / FI",,,3,,,,,,3,
2016,Lithuania,Belarus,"G / FI",6,,12,1,1,1,,3,6,
2016,Luxembourg,Belarus,"G / RA",,,,,,,1,1,,
2016,Luxembourg,Belarus,"G / AR",3,,9,,,3,2,5,7,
2016,Luxembourg,Belarus,"G / RA",,,1,,,,,,,
2016,Luxembourg,Belarus,"G / FI",15,,14,,1,9,4,14,7,
2016,Luxembourg,Belarus,"G / JR",,,3,,,3,,3,,
2016,Latvia,Belarus,"G / FI",,,4,,,,1,1,3,
2016,Montenegro,Belarus,"G / FA",,,2,,,,,,2,2
2016,Netherlands,Belarus,"G / RA",2,,3,,,4,,4,1,
2016,Netherlands,Belarus,"G / FI",16,,21,,,4,40,44,10,
2016,Norway,Belarus,"G / FI",5,,5,,,3,8,11,,
2016,Norway,Belarus,"G / RA",,,4,,,3,,3,1,
2016,Norway,Belarus,"G / AR",,,6,,,5,1,6,1,
2016,Panama,Belarus,"G / FI",3,3,,,,,,,3,1
2016,Poland,Belarus,"G / AR",,,8,,,4,2,6,,
2016,Poland,Belarus,"G / FI",15,,35,4,,9,16,29,32,
2016,Portugal,Belarus,"G / FI",,,4,1,,,3,4,,
2016,Romania,Belarus,"G / FI",,,1,,,,,,,
2016,"Russian Federation",Belarus,"G / FI",6,6,16,,,,20,20,2,2
2016,"Russian Federation",Belarus,"G / TA",7,7,18,,,,19,19,6,6
2016,Sweden,Belarus,"G / AR",20,,124,2,1,75,11,89,59,
2016,Sweden,Belarus,"G / RA",53,,62,,8,33,34,75,41,
2016,Sweden,Belarus,"G / FI",141,,135,8,4,82,124,218,68,
2016,Turkey,Belarus,"U / FI",1,1,,,,,,,1,1
2016,Ukraine,Belarus,"G / JR",20,12,8,,,,3,3,25,24
2016,Ukraine,Belarus,"G / FI",16,12,7,,,7,3,10,13,13
2016,Ukraine,Belarus,"U / FI",,,1,1,,,,1,,
2016,"United States of America",Belarus,"G / IN",316,,506,17,,,16,33,793,
2016,"United States of America",Belarus,"G / EO",178,,15,23,,,29,52,162,
2016,"South Africa",Belarus,"G / AR",1,,,,,,1,1,,
2016,Brazil,Belize,"G / FI",1,,,,,,,,1,
2016,Canada,Belize,"G / FI",1,,4,1,,,,1,4,
2016,"Costa Rica",Belize,"G / FI",,,1,,,1,,1,,
2016,Germany,Belize,"G / NA",1,,,,,1,,1,,
2016,Germany,Belize,"G / JR",,,,,,,,,1,
2016,"United Kingdom",Belize,"G / FI",1,,2,,,1,1,2,1,
2016,"United Kingdom",Belize,"G / AR",,,1,,,,,,,
2016,"United Kingdom",Belize,"G / RA",,,,,,,,,,
2016,Ireland,Belize,"G / SP",,,1,,,,1,1,,
2016,Ireland,Belize,"G / SP",,,,,,,,,,
2016,Mexico,Belize,"G / FI",3,,,,,,,,3,
2016,"United States of America",Belize,"G / IN",24,,27,2,,,9,11,42,
2016,"United States of America",Belize,"G / EO",67,,45,,,11,15,26,108,
2016,Canada,Bermuda,"G / FI",,,,,,,,,1,
2016,"United Kingdom",Bermuda,"G / RA",,,,,,,,,,
2016,"United Kingdom",Bermuda,"G / AR",,,,,,,,,,
2016,"United Kingdom",Bermuda,"G / FI",,,1,,,,,,1,
2016,Argentina,"Bolivia (Plurinational State of)","G / FI",,,1,,,,1,1,,
2016,Brazil,"Bolivia (Plurinational State of)","G / FI",25,10,15,1,,,,1,39,5
2016,Canada,"Bolivia (Plurinational State of)","G / FI",4,,5,3,,1,,4,13,
2016,Chile,"Bolivia (Plurinational State of)","G / FI",18,5,2,,,,,,20,6
2016,Colombia,"Bolivia (Plurinational State of)","G / FI",,,1,,,,,,1,
2016,Colombia,"Bolivia (Plurinational State of)","G / FI",1,1,,,,,,,1,
2016,Colombia,"Bolivia (Plurinational State of)","G / JR",1,,,,,,,,1,
2016,Germany,"Bolivia (Plurinational State of)","G / NA",,,1,,,,1,1,,
2016,Germany,"Bolivia (Plurinational State of)","G / JR",,,,,,,,,,
2016,Spain,"Bolivia (Plurinational State of)","G / FI",5,,8,1,,2,,3,5,
2016,France,"Bolivia (Plurinational State of)","G / FI",1,,2,,1,1,,2,,
2016,France,"Bolivia (Plurinational State of)","G / AR",1,,,,,1,,1,,
2016,"United Kingdom","Bolivia (Plurinational State of)","G / AR",,,2,,,2,,2,,
2016,"United Kingdom","Bolivia (Plurinational State of)","G / RA",,,,,,,,,,
2016,"United Kingdom","Bolivia (Plurinational State of)","G / FI",7,,7,,,8,2,10,5,
2016,Greece,"Bolivia (Plurinational State of)","G / FI",,,2,,,,1,1,1,
2016,Hungary,"Bolivia (Plurinational State of)","G / FA",,,,,,1,,1,,
2016,Hungary,"Bolivia (Plurinational State of)","G / FI",,,1,,,,,,,
2016,Ireland,"Bolivia (Plurinational State of)","G / SP",,,2,1,,,,1,1,
2016,Ireland,"Bolivia (Plurinational State of)","G / SP",2,,1,,,2,1,3,,
2016,Ireland,"Bolivia (Plurinational State of)","G / AR",3,,2,1,,2,,3,2,
2016,Ireland,"Bolivia (Plurinational State of)","G / FI",2,,6,,,2,1,3,5,
2016,Italy,"Bolivia (Plurinational State of)","G / FI",,,6,,5,,,5,6,
2016,"Rep. of Korea","Bolivia (Plurinational State of)","G / FA",,,,,,,,,2,
2016,Mexico,"Bolivia (Plurinational State of)","G / FI",,,1,1,,,,1,,
2016,"New Zealand","Bolivia (Plurinational State of)","G / FI",1,,,1,,,,1,,
2016,Panama,"Bolivia (Plurinational State of)","G / FI",,,1,,,,,,1,
2016,Peru,"Bolivia (Plurinational State of)","G / FI",1,,3,2,,,1,3,1,
2016,Sweden,"Bolivia (Plurinational State of)","G / RA",20,,9,,,20,2,22,5,
2016,Sweden,"Bolivia (Plurinational State of)","G / AR",3,,25,,4,11,3,18,10,
2016,Sweden,"Bolivia (Plurinational State of)","G / FI",9,,15,4,,14,3,21,3,
2016,Uruguay,"Bolivia (Plurinational State of)","G / FI",1,1,,,,,,,1,
2016,"United States of America","Bolivia (Plurinational State of)","G / EO",173,,45,,,5,30,35,193,
2016,"United States of America","Bolivia (Plurinational State of)","G / IN",65,,55,5,,,11,16,105,
2016,"Venezuela (Bolivarian Republic of)","Bolivia (Plurinational State of)","G / FI",5,5,,,,,5,5,,
2016,"South Africa","Bolivia (Plurinational State of)","G / FI",,,1,,,,,,1,
2016,Argentina,Brazil,"G / FI",3,,5,,,,3,3,5,2
2016,Argentina,Brazil,"G / AR",1,,,,,,,,1,
2016,Australia,Brazil,"G / AR",9,,,,,5,2,7,2,
2016,Australia,Brazil,"G / FI",23,,27,,,20,,20,16,
2016,Austria,Brazil,"G / FA",2,,,,,,2,2,2,
2016,Belgium,Brazil,"G / FI",,,6,,,,,,1,
2016,Belgium,Brazil,"G / RA",,,,,,,,,,
2016,Canada,Brazil,"G / FI",28,,28,5,,9,6,20,49,
2016,Switzerland,Brazil,"G / FI",,,4,,,,,,4,
2016,China,Brazil,"U / AR",1,1,,,,,1,1,,
2016,Colombia,Brazil,"G / FI",,,1,,,,,,1,
2016,"Costa Rica",Brazil,"G / FI",3,3,,,,,,,3,3
2016,"Costa Rica",Brazil,"G / AR",,,1,,,,,,1,1
2016,Germany,Brazil,"G / JR",,,,,,,,,,
2016,Germany,Brazil,"G / NA",10,,17,,,1,,1,26,
2016,Denmark,Brazil,"G / FI",,,1,,,,,,,
2016,Spain,Brazil,"G / FI",5,,25,,,6,,6,20,
2016,Finland,Brazil,"G / FI",3,,,,,,,,,
2016,France,Brazil,"G / FI",4,,9,,1,7,,8,,
2016,France,Brazil,"G / AR",2,,2,,,3,,3,1,
2016,"United Kingdom",Brazil,"G / AR",,,4,,,3,,3,,
2016,"United Kingdom",Brazil,"G / FI",19,,39,,,16,10,26,28,
2016,"United Kingdom",Brazil,"G / RA",,,,,,,,,,
2016,Greece,Brazil,"G / FI",,,3,,,1,,1,2,
2016,Ireland,Brazil,"G / SP",1,,3,,,1,,1,3,
2016,Ireland,Brazil,"G / SP",,,2,,,1,1,2,,
2016,Ireland,Brazil,"G / AR",,,17,,,,,,17,
2016,Ireland,Brazil,"G / FI",3,,32,,,17,5,22,13,
2016,Italy,Brazil,"G / FI",27,,97,4,17,23,,44,82,
2016,Mexico,Brazil,"G / FI",,,3,,,,2,2,1,
2016,Netherlands,Brazil,"G / FI",2,,,,,2,,2,,
2016,Norway,Brazil,"G / AR",1,,2,,,1,,1,2,
2016,"New Zealand",Brazil,"G / FI",2,,6,,,2,,2,6,
2016,Panama,Brazil,"G / FI",2,2,2,,,,,,4,2
2016,Peru,Brazil,"G / FI",,,2,,,,,,2,1
2016,Portugal,Brazil,"G / FI",1,,8,,,,9,9,,
2016,Paraguay,Brazil,"G / FI",1,,,,,,1,1,,
2016,Romania,Brazil,"G / FI",,,1,,,1,1,2,,
2016,Romania,Brazil,"G / JR",,,,,,1,,1,,
2016,"Russian Federation",Brazil,"G / FI",,,1,,,,1,1,,
2016,Sweden,Brazil,"G / FI",12,,11,,,14,8,22,2,
2016,Sweden,Brazil,"G / AR",,,13,,,10,1,11,2,
2016,Sweden,Brazil,"G / RA",,,3,,,1,,1,2,
2016,Uruguay,Brazil,"G / FI",1,1,,,,,1,1,,
2016,"United States of America",Brazil,"G / EO",839,,490,7,,45,191,243,1480,
2016,"United States of America",Brazil,"G / IN",1162,,964,18,,1,114,133,1998,
2016,Brazil,Barbados,"G / FI",,,1,,,,,,1,
2016,Canada,Barbados,"G / FI",13,,32,26,,6,2,34,32,
2016,"United Kingdom",Barbados,"G / FI",8,,10,,,10,,10,7,
2016,"United Kingdom",Barbados,"G / AR",,,1,1,,1,,2,,
2016,"United Kingdom",Barbados,"G / RA",,,1,,,,,,,
2016,Sweden,Barbados,"G / FI",,,1,,,,,,1,
2016,"United States of America",Barbados,"G / IN",1,,3,,,,,,4,
2016,"United States of America",Barbados,"G / EO",,,,,,,,,,
2016,Australia,"Brunei Darussalam","G / AR",,,1,,,,,,1,
2016,Australia,"Brunei Darussalam","G / FI",3,,3,,,,,,3,
2016,Switzerland,"Brunei Darussalam","G / FI",1,,1,,1,,1,2,,
2016,Finland,"Brunei Darussalam","G / FI",1,,1,,,,,,,
2016,Finland,"Brunei Darussalam","G / RA",,,,,,,,,,
2016,"United Kingdom","Brunei Darussalam","G / FI",,,,,,,,,,
2016,"United Kingdom","Brunei Darussalam","G / AR",,,,,,,,,,
2016,"United Kingdom","Brunei Darussalam","G / RA",,,,,,,,,,
2016,Australia,Bhutan,"G / FI",5,,8,,,3,,3,7,
2016,Australia,Bhutan,"G / AR",,,1,,,,,,1,
2016,Austria,Bhutan,"G / FA",2,,,,1,,1,2,,
2016,Belgium,Bhutan,"G / FI",1,,,,,,,,2,
2016,Belgium,Bhutan,"G / RA",,,1,,,,,,,
2016,Brazil,Bhutan,"G / FI",23,3,,1,,,,1,22,1
2016,Canada,Bhutan,"G / FI",1,,,,,,,,,
2016,Switzerland,Bhutan,"G / FI",1,,2,,,,2,2,2,
2016,Germany,Bhutan,"G / RA",4,,,,,,,,3,
2016,Germany,Bhutan,"G / JR",,,,,,,,,1,
2016,Germany,Bhutan,"G / NA",12,,8,,,1,4,5,9,
2016,France,Bhutan,"G / RA",,,,,,,1,1,,
2016,France,Bhutan,"G / FI",5,,9,,,4,,4,,
2016,France,Bhutan,"G / AR",31,,4,7,,21,,28,7,
2016,"United Kingdom",Bhutan,"G / RA",,,,,,,,,,
2016,"United Kingdom",Bhutan,"G / AR",,,1,,,1,,1,,
2016,"United Kingdom",Bhutan,"G / FI",4,,1,,,1,1,2,2,
2016,Indonesia,Bhutan,"U / FI",2,2,,,,,2,2,,
2016,Ireland,Bhutan,"G / AR",1,,2,2,,,,2,1,
2016,Ireland,Bhutan,"G / SP",4,,,1,,3,,4,,
2016,Ireland,Bhutan,"G / SP",3,,,,,,2,2,1,
2016,Ireland,Bhutan,"G / FI",1,,,,,1,,1,,
2016,Luxembourg,Bhutan,"G / FI",2,,,,,,2,2,,
2016,Sweden,Bhutan,"G / RA",,,1,,,,,,1,
2016,"United States of America",Bhutan,"G / EO",40,,7,4,,,11,15,38,
2016,"United States of America",Bhutan,"G / IN",87,,104,,,,4,4,189,
2016,Argentina,Botswana,"G / FI",,,,,,,,,,
2016,Australia,Botswana,"G / AR",1,,,,,,,,1,
2016,Australia,Botswana,"G / FI",3,,3,,,,,,3,
2016,Canada,Botswana,"G / FI",,,6,3,,1,,4,46,
2016,Germany,Botswana,"G / NA",4,,3,,,,1,1,6,
2016,Germany,Botswana,"G / RA",1,,,,,,,,1,
2016,Germany,Botswana,"G / JR",3,,,,,,,,3,
2016,France,Botswana,"G / AR",,,1,,,,,,1,
2016,"United Kingdom",Botswana,"G / RA",,,,,,,,,,
2016,"United Kingdom",Botswana,"G / AR",,,3,,,3,,3,,
2016,"United Kingdom",Botswana,"G / FI",13,,15,,,6,,6,24,
2016,Ireland,Botswana,"G / SP",1,,,,,,1,1,,
2016,Ireland,Botswana,"G / FI",4,,1,,,2,2,4,3,
2016,Ireland,Botswana,"G / SP",,,2,,,,,,2,
2016,Ireland,Botswana,"G / AR",4,,5,1,,1,2,4,5,
2016,Ireland,Botswana,"G / RA",,,2,,,,,,,
2016,Italy,Botswana,"G / FI",,,,,1,,,1,,
2016,"United States of America",Botswana,"G / EO",,,,,,,,,,
2016,"United States of America",Botswana,"G / IN",6,,,,,,,,6,
2016,"South Africa",Botswana,"G / FI",16,2,9,,,,,,25,
2016,"South Africa",Botswana,"G / AR",8,1,,,,,8,8,,
2016,Zambia,"Central African Rep.","G / FI",1,1,1,,,,1,1,1,1
2016,Angola,"Central African Rep.","G / FI",76,,,,,,,,76,
2016,Argentina,"Central African Rep.","G / FI",,,1,,,,,,1,1
2016,Austria,"Central African Rep.","G / FA",1,,4,,,,,,2,
2016,Burundi,"Central African Rep.","G / FI",4,4,,,,,4,4,,
2016,Belgium,"Central African Rep.","G / JR",,,7,1,,,,1,5,
2016,Belgium,"Central African Rep.","G / RA",,,,,,,,,,
2016,Belgium,"Central African Rep.","G / FI",12,,27,14,5,10,1,30,7,
2016,Benin,"Central African Rep.","G / FI",159,159,287,258,,5,4,267,179,179
2016,"Burkina Faso","Central African Rep.","J / FI",116,116,64,78,,,,78,102,102
2016,Bulgaria,"Central African Rep.","G / FI",2,2,,,,,,,,
2016,Brazil,"Central African Rep.","G / FI",2,,,1,,,,1,1,1
2016,Canada,"Central African Rep.","G / FI",3,,13,10,,1,1,12,4,
2016,Switzerland,"Central African Rep.","G / FI",2,,19,1,1,,13,15,6,
2016,China,"Central African Rep.","U / FI",1,1,3,,,,3,3,1,1
2016,"Côte d'Ivoire","Central African Rep.","J / FA",89,89,33,33,,,,33,89,89
2016,Cameroon,"Central African Rep.","U / AR",272,272,67,6,,16,228,250,89,89
2016,Cameroon,"Central African Rep.","U / FI",3246,3246,2264,2146,,67,1351,3564,1946,1946
2016,Cameroon,"Central African Rep.","U / RA",338,338,996,661,,1,148,810,524,524
2016,"Dem. Rep. of the Congo","Central African Rep.","G / FI",1,1,60,4,,,,4,57,57
2016,Congo,"Central African Rep.","G / FA",2216,2216,2118,11,,,1,12,4322,4322
2016,Cyprus,"Central African Rep.","G / FI",,,2,,,,,,2,2
2016,Germany,"Central African Rep.","G / JR",1,,,,,,1,1,1,
2016,Germany,"Central African Rep.","G / RA",3,,,,,,,,5,
2016,Germany,"Central African Rep.","G / NA",57,,38,3,,2,4,9,87,
2016,Denmark,"Central African Rep.","G / FI",1,,,,,,1,1,,
2016,Denmark,"Central African Rep.","G / AR",,,1,,,,1,1,,
2016,Algeria,"Central African Rep.","U / RA",1,1,2,2,,1,,3,,
2016,Algeria,"Central African Rep.","U / AR",2,2,1,,,2,,2,1,1
2016,Algeria,"Central African Rep.","U / FI",23,23,32,26,,2,4,32,23,23
2016,Egypt,"Central African Rep.","U / RA",1,1,,,,,,,1,1
2016,Egypt,"Central African Rep.","U / FI",20,20,10,3,,1,2,6,24,24
2016,Spain,"Central African Rep.","G / FI",30,,108,,16,1,,17,130,
2016,Finland,"Central African Rep.","G / FI",1,,3,2,,,,2,1,
2016,Finland,"Central African Rep.","G / RA",,,,,,,,,,
2016,France,"Central African Rep.","G / RA",,,11,,,,,,,
2016,France,"Central African Rep.","G / FI",802,,1166,315,425,485,,1225,583,
2016,France,"Central African Rep.","G / RA",,,3,,,,,,,
2016,France,"Central African Rep.","G / AR",32,,307,6,4,38,10,58,277,
2016,Gabon,"Central African Rep.","G / FA",279,279,32,,2,24,,26,285,285
2016,"United Kingdom","Central African Rep.","G / FI",5,,1,1,,,2,3,2,
2016,"United Kingdom","Central African Rep.","G / AR",,,,,,1,,1,,
2016,"United Kingdom","Central African Rep.","G / RA",,,,,,,,,,
2016,Ghana,"Central African Rep.","G / FI",184,184,47,42,,,131,173,58,58
2016,Guinea-Bissau,"Central African Rep.","G / FI",7,7,,,,,,,,
2016,Greece,"Central African Rep.","G / AR",3,,,,,,,,3,
2016,Greece,"Central African Rep.","G / FI",2,,3,,,1,,1,3,
2016,Hungary,"Central African Rep.","G / FA",,,,,,,1,1,,
2016,Hungary,"Central African Rep.","G / FI",,,1,,,,,,,
2016,Indonesia,"Central African Rep.","U / AR",1,1,,,,,,,1,1
2016,Indonesia,"Central African Rep.","U / FI",1,1,,,,,1,1,,
2016,Italy,"Central African Rep.","G / FI",13,,55,5,7,1,,13,49,
2016,Kenya,"Central African Rep.","J / FI",4,4,1,,,,,,5,5
2016,"Rep. of Korea","Central African Rep.","G / FA",,,,,,,1,1,,
2016,Lebanon,"Central African Rep.","U / FI",,,1,,,,,,1,1
2016,Liberia,"Central African Rep.","J / FI",1,1,,1,,,,1,,
2016,Luxembourg,"Central African Rep.","G / FI",,,1,,,,,,1,
2016,Morocco,"Central African Rep.","U / FI",103,103,85,104,,11,28,143,45,45
2016,Morocco,"Central African Rep.","U / AR",1,1,5,1,,2,,3,3,3
2016,Mali,"Central African Rep.","G / FI",221,221,134,95,,5,121,221,134,134
2016,Mozambique,"Central African Rep.","G / FI",4,4,1,,,,1,1,4,1
2016,Mauritania,"Central African Rep.","U / FI",42,42,120,88,,2,,90,72,72
2016,Mauritania,"Central African Rep.","U / AR",4,4,,,,,,,4,4
2016,Malaysia,"Central African Rep.","U / FI",2,2,4,,,,3,3,3,3
2016,Namibia,"Central African Rep.","G / FI",,,1,,,,,,1,1
2016,Niger,"Central African Rep.","G / FI",49,49,16,32,,,,32,33,33
2016,Niger,"Central African Rep.","G / AR",14,14,,6,,,,6,8,8
2016,Nigeria,"Central African Rep.","G / FI",50,50,14,15,,,,15,49,49
2016,Netherlands,"Central African Rep.","G / FI",2,,4,,,,1,1,3,
2016,Norway,"Central African Rep.","G / FI",,,1,,,,,,,
2016,Poland,"Central African Rep.","G / FI",,,2,,,,,,2,
2016,Portugal,"Central African Rep.","G / FI",,,5,,,,,,5,
2016,Romania,"Central African Rep.","G / FI",,,3,3,,1,,4,,
2016,"Russian Federation","Central African Rep.","G / TA",1,1,,,,,1,1,,
2016,Rwanda,"Central African Rep.","G / FI",2,2,,,,,,,2,2
2016,Sudan,"Central African Rep.","G / FI",1,1,,,,,,,1,1
2016,Sudan,"Central African Rep.","U / FI",4,4,,,,,,,4,4
2016,Senegal,"Central African Rep.","G / FA",571,571,70,,153,,,153,488,488
2016,"Serbia and Kosovo (S/RES/1244 (1999))","Central African Rep.","G / FI",,,,,,,,,,
2016,"South Sudan","Central African Rep.","U / FI",1,1,1,,,,2,2,,
2016,Sweden,"Central African Rep.","G / FI",3,,1,,,1,,1,2,
2016,Sweden,"Central African Rep.","G / AR",,,1,,,,,,1,
2016,Swaziland,"Central African Rep.","G / FI",1,,,,,,,,1,
2016,Chad,"Central African Rep.","G / FA",1276,1276,136,903,,8,10,921,491,491
2016,Togo,"Central African Rep.","G / FA",151,151,87,33,,50,,83,155,155
2016,Tunisia,"Central African Rep.","U / FI",2,2,,,,,2,2,,
2016,Tunisia,"Central African Rep.","U / AR",1,1,5,5,,1,,6,,
2016,Turkey,"Central African Rep.","U / FI",21,21,1,1,,,7,8,14,14
2016,Uganda,"Central African Rep.","G / FA",1,1,6,3,,,,3,4,4
2016,"United States of America","Central African Rep.","G / IN",43,,24,2,,,3,5,64,
2016,"United States of America","Central African Rep.","G / EO",52,,,,,,,,48,
2016,"South Africa","Central African Rep.","G / AR",1,,,,,,1,1,,
2016,"South Africa","Central African Rep.","G / FI",7,1,2,,,2,,2,7,
2016,Australia,Canada,"G / FI",,,3,,,,,,3,
2016,Australia,Canada,"G / AR",,,1,,,,,,1,
2016,Austria,Canada,"G / FA",,,2,,,,,,2,
2016,Belgium,Canada,"G / RA",,,,,,,1,1,,
2016,Belgium,Canada,"G / FI",2,,1,,,,1,1,1,
2016,Belarus,Canada,"G / FI",,,1,,,,1,1,,
2016,Brazil,Canada,"G / FI",1,,,,,,,,1,
2016,Switzerland,Canada,"G / FI",,,1,,,1,,1,,
2016,"Costa Rica",Canada,"G / FI",,,3,,,,3,3,,
2016,Germany,Canada,"G / JR",,,,,,,,,,
2016,Germany,Canada,"G / NA",1,,1,1,,,,1,1,
2016,Germany,Canada,"G / NA",,,,,,,,,,
2016,Finland,Canada,"G / FI",,,,,,2,,2,,
2016,France,Canada,"G / FI",,,6,,,,,,,
2016,"United Kingdom",Canada,"G / AR",,,,,,,1,1,,
2016,"United Kingdom",Canada,"G / FI",13,,11,2,,6,1,9,12,
2016,"United Kingdom",Canada,"G / RA",,,3,,,,,,,
2016,Ireland,Canada,"G / AR",,,1,,,,,,1,
2016,Ireland,Canada,"G / FI",1,,,,,1,,1,,
2016,Iceland,Canada,"G / FI",1,,1,,,2,,2,1,
2016,Italy,Canada,"G / FI",,,2,,,,,,2,
2016,Netherlands,Canada,"G / FI",7,,,,,,,,,
2016,Norway,Canada,"G / FI",,,3,,,1,2,3,,
2016,Norway,Canada,"G / AR",,,1,,,1,,1,,
2016,Peru,Canada,"G / FI",1,,1,,,2,,2,,
2016,Poland,Canada,"G / FI",1,,,,,,,,1,
2016,"Russian Federation",Canada,"G / FI",,,1,,,,1,1,,
2016,"Russian Federation",Canada,"G / TA",,,1,,,,1,1,,
2016,Sweden,Canada,"G / AR",1,,4,,,3,1,4,1,
2016,Sweden,Canada,"G / FI",3,,3,,,2,4,6,2,
2016,Sweden,Canada,"G / RA",1,,,,,1,,1,,
2016,Uganda,Canada,"G / FA",1,1,,,,,,,1,1
2016,"United States of America",Canada,"G / EO",31,,9,4,,,,4,28,
2016,"United States of America",Canada,"G / IN",7,,2,,,,,,9,
2016,Argentina,Switzerland,"G / FI",,,1,,,,,,1,
2016,Austria,Switzerland,"G / FA",,,2,,,,2,2,,
2016,Brazil,Switzerland,"G / FI",1,1,,,,,,,1,
2016,Canada,Switzerland,"G / FI",,,2,,,,,,2,
2016,Germany,Switzerland,"G / NA",1,,,,,,1,1,,
2016,Finland,Switzerland,"G / RA",,,,,,,,,,
2016,Finland,Switzerland,"G / FI",,,1,,,,,,,
2016,"United Kingdom",Switzerland,"G / FI",1,,,,,,,,,
2016,"United Kingdom",Switzerland,"G / AR",,,,,,,,,,
2016,"United Kingdom",Switzerland,"G / RA",,,,,,,,,,
2016,Luxembourg,Switzerland,"G / FI",,,1,,,,,,,
2016,Norway,Switzerland,"G / FI",,,1,,,,1,1,,
2016,"United States of America",Switzerland,"G / EO",,,,,,,,,5,
2016,"United States of America",Switzerland,"G / IN",1,,3,,,,,,4,
2016,"United States of America",Switzerland,"G / EO",,,,,,,,,,
2016,Argentina,Chile,"G / JR",1,,,,,,,,1,
2016,Argentina,Chile,"G / AR",2,,,,,,,,2,
2016,Argentina,Chile,"G / FI",5,,2,,,1,3,4,3,1
2016,Australia,Chile,"G / FI",3,,3,,,,,,3,
2016,Austria,Chile,"G / FA",3,,2,,,,,,5,
2016,Belgium,Chile,"G / FI",1,,5,,,,,,6,
2016,Belgium,Chile,"G / RA",,,,,,,,,,
2016,Brazil,Chile,"G / FI",2,,5,,,,,,7,2
2016,Canada,Chile,"G / FI",13,,50,3,,31,2,36,36,
2016,"Costa Rica",Chile,"G / FI",2,2,,,,,,,2,2
2016,Germany,Chile,"G / NA",,,,,,,,,,
2016,Germany,Chile,"G / RA",,,,,,,,,,
2016,Germany,Chile,"G / JR",1,,,,,,1,1,,
2016,Denmark,Chile,"G / FI",,,1,,,,,,1,
2016,Spain,Chile,"G / FI",5,,8,,,1,,1,5,
2016,France,Chile,"G / FI",4,,2,,,2,,2,,
2016,France,Chile,"G / AR",,,1,,,1,,1,,
2016,"United Kingdom",Chile,"G / AR",,,,,,,,,,
2016,"United Kingdom",Chile,"G / FI",,,2,,,,2,2,,
2016,"United Kingdom",Chile,"G / RA",,,,,,,,,,
2016,Greece,Chile,"G / FI",,,1,,,,,,1,
2016,Italy,Chile,"G / FI",,,4,,2,2,,4,1,
2016,Mexico,Chile,"G / FI",1,,,,,,,,1,
2016,Netherlands,Chile,"G / RA",1,,,,,,,,,
2016,Norway,Chile,"G / FI",,,2,,,,2,2,,
2016,"New Zealand",Chile,"G / FI",3,,,3,,,,3,,
2016,Panama,Chile,"G / FI",,,1,,,,1,1,,
2016,Romania,Chile,"G / FI",,,1,,,1,,1,,
2016,Sweden,Chile,"G / RA",2,,5,,,5,,5,3,
2016,Sweden,Chile,"G / AR",4,,16,,,4,4,8,12,
2016,Sweden,Chile,"G / FI",11,,24,,1,20,6,27,9,
2016,"Syrian Arab Rep.",Chile,"U / FI",6,6,,,,5,1,6,,
2016,Turkey,Chile,"U / FI",,,1,,,,,,1,1
2016,Uruguay,Chile,"G / FI",,,1,,,,,,1,1
2016,"United States of America",Chile,"G / IN",23,,31,,,,2,2,53,
2016,"United States of America",Chile,"G / EO",62,,7,,,,12,12,52,
2016,"Venezuela (Bolivarian Republic of)",Chile,"G / FI",4,4,,4,,,,4,,
2016,"South Africa",Chile,"G / AR",2,,,,,,2,2,,
2016,Argentina,China,"G / FI",2,,22,,,12,4,16,8,1
2016,Argentina,China,"G / JR",11,,,,,,,,11,
2016,Argentina,China,"G / AR",16,,,,,,,,16,
2016,Australia,China,"G / AR",741,,807,44,,3535,51,3630,1101,
2016,Australia,China,"G / FI",2391,,1914,112,,635,,747,1880,
2016,Austria,China,"G / FA",500,,246,58,4,55,70,187,536,
